"bylaw_id","highway","between","failed_reason","resaon"
1975,"Humberwood Boulevard","A point 138 metres west/north of Hullrick Drive (west intersection) and a point 970 metres further north",4,"no int_id is not found for both intersections"
2004,"Indian Line","Dixon Road and a point 1,830 metres north of Rexdale Boulevard",4,"no int_id is not found for both intersections"
2005,"Indian Line","A point 1,830 metres north of Rexdale Boulevard and Albion Road",4,"no int_id is not found for both intersections"
2063,"Jessie Drive","Humphrey Gate and Dallimore Circle",4,"no int_id is not found for both intersections"
2209,"Lakeshore Drive","East limit of road (east of First Street) and West limit of road (west of Thirteenth Street)",4,"no int_id is not found for both intersections"
2409,"Madeline Road","Finch Avenue West Lorraine Drive",4,"no int_id is not found for both intersections"
2542,"Meadowvale Road","Highway 401 and Old Finch Avenue",4,"no int_id is not found for both intersections"
2546,"Medland Street","Oakmount Road and Dundas Street West",4,"no int_id is not found for both intersections"
2647,"Morrison Avenue (TO)","Donlands Avenue and Greenwood Avenue",4,"no int_id is not found for both intersections"
2808,"Orchard Crescent","Spring Garden Road and East limit of road",4,"no int_id is not found for both intersections"
2832,"Overland Drive","The Donway West Barber Greene Road",4,"no int_id is not found for both intersections"
3298,"Sackville Green","Shuter Street/Sackville Street and the north end of Sackville Green",4,"no int_id is not found for both intersections"
3403,"Sheppard Square","The Southerly Limit Of Rean Cres. And The Southerly Limit Of Sheppard Sq.",4,"no int_id is not found for both intersections"
3524,"St. David Walk","Regent Street and the east end of St. David Walk",4,"no int_id is not found for both intersections"
3547,"St. Leonard's Crescent (NY)","St. Ives Avenue and Dawlish Avenue (east intersection)",4,"no int_id is not found for both intersections"
4162,"Turnbridge Cfrescent","Burnhamthorpe Road (west intersection) and Burnhamthorpe Road (east intersection)",4,"no int_id is not found for both intersections"
4574,"Cranfield Road","Northdale Boulevard and Bermondsey Road",4,"no int_id is not found for both intersections"
4717,"Ridelle Avenue","A point 77.64 metres west of William R. Allen Road and Bathurst Street",4,"no int_id is not found for both intersections"
5229,"St. Leonard's Avenue (TO)","Weybourne Crescent and Mount Pleasant Road",4,"no int_id is not found for both intersections"
5325,"St. Helen's Avenue","Whytock Avenue and Bloor Street West",4,"no int_id is not found for both intersections"
5471,"St. Leonard's Avenue","Mount Pleasant Road and Bayview Avenue",4,"no int_id is not found for both intersections"
5538,"Dublin Street","St. Helen's Avenue and the west end of Dublin Street",4,"no int_id is not found for both intersections"
5547,"Lumbervale Avenue","St. Helen's Avenue and Lansdowne Avenue",4,"no int_id is not found for both intersections"
5561,"Whytock Avenue","St. Helen's Avenue and Lansdowne Avenue",4,"no int_id is not found for both intersections"
5827,"First east-west lane south of Pretoria Avenue","Cambridge Avenue and Broadview Avenue",4,"no int_id is not found for both intersections"
5905,"Gertrude Place","A point 56.76 metres west Woodycrest Avenue and a point 48.99 metres east of Woodycrest Avenue",4,"no int_id is not found for both intersections"
6053,"Valifor Place","The south end of Valifor Avenue and Torbrick Road",4,"no int_id is not found for both intersections"
6067,"Drovers Lane","Parliament Street and Verner Lane",4,"no int_id is not found for both intersections"
6337,"Caroline Carpenter","Locust Lodge Gardens and John Perkins Bull Drive",4,"no int_id is not found for both intersections"
6341,"John Perkins Bull Drive","Stanley Greene Bouelvard and Frederick Tisdale Drive",4,"no int_id is not found for both intersections"
6342,"Locust Lodge Gardens","Stanley Greene Bouelvard and Frederick Tisdale Drive",4,"no int_id is not found for both intersections"
6488,"Castlefield Avenue","West boundary of Ward 15 and Roselawn Avenue",4,"no int_id is not found for both intersections"
6531,"Lewes Crescent","St. Leonard's Avenue (west intersection) and St. Leonard's Avenue (east intersection)",4,"no int_id is not found for both intersections"
